10/12/21 05:20:06:256  INFO [main] (JdbcExtractor.java:1069) - encargos.sql | Tempo de execução: 00h 00min 00s 80ms 

10/12/21 05:20:06:690 DEBUG [main] (JdbcExtractor.java:1041) - consumogerencial.sql | Query a ser executada: select 	ZD3.ZD3_LITROS, 	ZD3.ZD3_VLUNI, 	ZD3.ZD3_HODOM, 	ZD3.ZD3_KMRD, 	ZD3.ZD3_KML, 	ZD3.ZD3_TOTAL, 	trim(isnull(ZD3.ZD3_DATA, '-')) as ZD3_DATA,  	trim(isnull(TQI.TQI_TANQUE, '-')) as TQI_TANQUE, 	trim(isnull(ST9.T9_CODBEM, '-')) as T9_CODBEM, 	trim(isnull(TQM.TQM_CODCOM, '-')) as TQM_CODCOM from 	( 		select 			case cast(ZD3010.ZD3_TANQUE as int) 				when 12 then '010102' 				else trim(isnull(ZD3010.ZD3_FILIAL, '-')) 			end as ZD3_FILIAL, 			ZD3010.ZD3_KM as ZD3_HODOM,  			ZD3010.ZD3_VEICUL, 			ZD3010.ZD3_LITROS, 			ZD3010.ZD3_VLUNI, 			ZD3010.ZD3_TOTAL, 			 			ZD3010.ZD3_TANQUE, 			ZD3010.ZD3_COMB, 			substring(ZD3010.ZD3_DATA, 1, 8) as ZD3_DATA, 			ZD3010.ZD3_KML, 			ZD3010.ZD3_KMRD 		from ZD3010 		where ZD3010.D_E_L_E_T_ = '' 	) as ZD3  	left join	 	( 		select 			case cast(TQI010.TQI_CODPOS as int) 				when 59 then '010102' 				else trim(isnull(TQI010.TQI_FILIAL, '-')) 			end as TQI_FILIAL,  			TQI010.TQI_CODPOS, 			TQI010.TQI_LOJA, 			TQI010.TQI_TANQUE, 			TQI010.TQI_YDETAN, 			TQI010.TQI_CODCOM, 			TQI010.TQI_PRODUT, 			TQI010.TQI_FABRIC 		from TQI010 		where TQI010.D_E_L_E_T_ = '' 	) as TQI 		on TQI.TQI_FILIAL = ZD3.ZD3_FILIAL 		and TQI.TQI_TANQUE = ZD3.ZD3_TANQUE  		left join 		( 			select 				case cast(TQF010.TQF_CODIGO as int) 					when 59 then '010102' 					else trim(isnull(TQF010.TQF_CODFIL, '-')) 				end as TQF_FILIAL, 				TQF010.TQF_CODIGO, 				TQF010.TQF_LOJA 			from TQF010 			where TQF010.D_E_L_E_T_ = '' 		) as TQF 			on TQF.TQF_FILIAL = TQI.TQI_FILIAL 			and TQF.TQF_CODIGO + TQF.TQF_LOJA = TQI.TQI_CODPOS + TQI.TQI_LOJA  	left join ST9010 as ST9 		on ST9.D_E_L_E_T_ = '' 		and ST9.T9_CODBEM = ZD3.ZD3_VEICUL 	left join TQM010 as TQM 		on TQM.D_E_L_E_T_ = '' 		and TQM.TQM_CODCOM = ZD3.ZD3_COMB where ZD3.ZD3_DATA between '20191210' AND '20211210' 

10/12/21 05:20:06:967  INFO [main] (JdbcExtractor.java:1069) - consumogerencial.sql | Tempo de execução: 00h 00min 00s 276ms 

10/12/21 05:20:07:815 DEBUG [main] (JdbcExtractor.java:1041) - consumo.sql | Query a ser executada: select 	TQN.TQN_QUANT, 	TQN.TQN_VALUNI, 	TQN.TQN_HODOM, 	trim(isnull(TQN.TQN_DTABAS, '-')) as TQN_DTABAS,  	trim(isnull(TQI.TQI_TANQUE, '-')) as TQI_TANQUE, 	trim(isnull(ST9.T9_CODBEM, '-')) as T9_CODBEM, 	trim(isnull(TQM.TQM_CODCOM, '-')) as TQM_CODCOM from 	( 		select 			case cast(TQN010.TQN_POSTO as int) 				when 59 then '010102' 				else trim(isnull(TQN010.TQN_FILIAL, '-')) 			end as TQN_FILIAL, 			TQN010.TQN_QUANT, 			TQN010.TQN_VALUNI, 			TQN010.TQN_HODOM, 			TQN010.TQN_FROTA, 			TQN010.TQN_CODCOM, 			TQN010.TQN_POSTO, 			TQN010.TQN_LOJA, 			TQN010.TQN_TANQUE, 			TQN010.TQN_DTABAS 		from TQN010 		where TQN010.D_E_L_E_T_ = '' 	) as TQN  	left join	 	( 		select 			case cast(TQI010.TQI_CODPOS as int) 				when 59 then '010102' 				else trim(isnull(TQI010.TQI_FILIAL, '-')) 			end as TQI_FILIAL,  			TQI010.TQI_CODPOS, 			TQI010.TQI_LOJA, 			TQI010.TQI_TANQUE, 			TQI010.TQI_YDETAN, 			TQI010.TQI_CODCOM, 			TQI010.TQI_PRODUT, 			TQI010.TQI_FABRIC 		from TQI010 		where TQI010.D_E_L_E_T_ = '' 	) as TQI 		on TQI.TQI_FILIAL = TQN.TQN_FILIAL 		and TQI.TQI_TANQUE = TQN.TQN_TANQUE  		left join 		( 			select 				case cast(TQF010.TQF_CODIGO as int) 					when 59 then '010102' 					else trim(isnull(TQF010.TQF_CODFIL, '-')) 				end as TQF_FILIAL, 				TQF010.TQF_CODIGO, 				TQF010.TQF_LOJA 			from TQF010 			where TQF010.D_E_L_E_T_ = '' 		) as TQF 			on TQF.TQF_FILIAL = TQI.TQI_FILIAL 			and TQF.TQF_CODIGO + TQF.TQF_LOJA = TQI.TQI_CODPOS + TQI.TQI_LOJA  	left join ST9010 as ST9 		on ST9.D_E_L_E_T_ = '' 		and ST9.T9_CODBEM = TQN.TQN_FROTA 	left join TQM010 as TQM 		on TQM.D_E_L_E_T_ = '' 		and TQM.TQM_CODCOM = TQN.TQN_CODCOM where TQN.TQN_DTABAS between '20191210' AND '20211210' 

10/12/21 05:20:07:885  INFO [main] (JdbcExtractor.java:1069) - consumo.sql | Tempo de execução: 00h 00min 00s 70ms 

10/12/21 05:20:08:642 DEBUG [main] (JdbcExtractor.java:1041) - insumo.sql | Query a ser executada: select 	trim(isnull(STL.TL_SEQRELA, '-')) as TL_SEQRELA, 	STL.TL_QUANTID, 	STL.TL_CUSTO, 	trim(isnull(STL.TL_DTINICI, '-')) as TL_DTINICI, 	trim(isnull(STL.TL_DTFIM, '-')) as TL_DTFIM, 	trim(isnull(STL.TL_HOINICI, '-')) as TL_HOINICI, 	trim(isnull(STL.TL_HOFIM, '-')) as TL_HOFIM,  	STJ.TJ_POSCONT, 	ST1.T1_SALARIO, 	SB1.B1_UPRC, 	case when substring(ST9.T9_DTCOMPR, 1, 6) = substring(STL.TL_DTINICI, 1, 6) then ST9.T9_VALCPA else 0.0 end as T9_VALCPA,	 	STJ.TJ_CUSTMDO, 	STJ.TJ_CUSTMAT, 	STJ.TJ_CUSTMAA, 	STJ.TJ_CUSTMAS, 	STJ.TJ_CUSTTER,  	trim(isnull(STL.TL_CODIGO, '-')) as INSUMO, 	isnull(trim(SA2.A2_NOME), isnull(trim(SB1.B1_DESC), isnull(trim(SH4.H4_DESCRI), isnull(trim(ST0.T0_NOME), isnull(trim(ST1.T1_NOME), '-'))))) as DESC_INSUMO, 	trim(isnull(STJ.TJ_ORDEM, '-')) as TJ_ORDEM, 	trim(isnull(ST5.T5_TAREFA, '-')) as T5_TAREFA, 	trim(isnull(STJ.TJ_CODBEM, '-')) as TJ_CODBEM, 	trim(isnull(SH4.H4_CODIGO, '-')) as H4_CODIGO, 	trim(isnull(ST0.T0_ESPECIA, '-')) as T0_ESPECIA, 	trim(isnull(ST1.T1_CODFUNC, '-')) as T1_CODFUNC, 	trim(isnull(SB1.B1_COD, '-')) as B1_COD, 	trim(isnull(SA2.A2_COD, '-')) as A2_COD, 	trim(isnull(STI.TI_PLANO, '-')) as TI_PLANO, 	trim(isnull(STJ.TJ_FILIAL, '-')) as COD_FILIAL   from STJ010 as STJ /**/ 	inner join ST9010 as ST9 		on ST9.D_E_L_E_T_ = '' 		and ST9.T9_CODBEM = STJ.TJ_CODBEM  		left join TQR010 as TQR 			on 	TQR.D_E_L_E_T_ = '' 			and TQR.TQR_TIPMOD = ST9.T9_TIPMOD  	inner join ST4010 as ST4 		on ST4.D_E_L_E_T_ = '' 		and ST4.T4_SERVICO = STJ.TJ_SERVICO 	inner join STL010 as STL 		on STL.D_E_L_E_T_ = '' 		and STL.TL_ORDEM = STJ.TJ_ORDEM 		and STL.TL_PLANO = STJ.TJ_PLANO 		and STL.TL_FILIAL = STJ.TJ_FILIAL  		left join ST5010 as ST5 			on ST5.D_E_L_E_T_ = '' 			and ST5.T5_CODBEM = STL.TL_CODBEM 			and ST5.T5_TAREFA = STL.TL_TAREFA/* 		left join SB1010 as SB1 			on SB1.D_E_L_E_T_ = '' 			and SB1.B1_COD = STL.TL_CODIGO  			left join SD1010 as SD1 				on SD1.D_E_L_E_T_ = '' 				and SD1.D1_COD = SB1.B1_COD*/ 		left join SA2010 as SA2 			on SA2.D_E_L_E_T_ = '' 			and SA2.A2_COD = STL.TL_CODIGO 		left join SB1010 as SB1 			on SB1.D_E_L_E_T_ = '' 			and SB1.B1_COD = STL.TL_CODIGO 		left join SH4010 as SH4 			on SH4.D_E_L_E_T_ = '' 			and SH4.H4_CODIGO = STL.TL_CODIGO 		left join ST0010 as ST0 			on ST0.D_E_L_E_T_ = '' 			and ST0.T0_ESPECIA = STL.TL_CODIGO 		left join ST1010 as ST1 			on ST1.D_E_L_E_T_ = '' 			and ST1.T1_FILIAL = STL.TL_FILIAL 			and ST1.T1_CODFUNC = STL.TL_CODIGO 		left join STI010 as STI 			on STI.D_E_L_E_T_ = '' 			and STI.TI_FILIAL = STL.TL_FILIAL 			and STI.TI_PLANO = STL.TL_PLANO where 		STL.TL_DTINICI between '20191210' AND '20211210' 	and STL.D_E_L_E_T_ = '' 	and trim(ST9.T9_CODBEM) not like '[0-9]%' 
