TJ_FILIAL;TJ_CODBEM;TJ_ORDEM;TJ_PLANO;TJ_SERVICO;TJ_DTORIGI;TJ_DTMRINI;TJ_HOMRINI;TJ_DTMRFIM;TJ_HOMRFIM;TJ_DTPRINI;DATAHORA_MNTINI;TJ_HOPRINI;DATAHORA_MNTFIM;TJ_DTPRFIM;TJ_HOPRFIM
010101;CM1026          ;002018;000000;FUN-EX;20210104;20210126;10:52;20210210;06:52;20210112;20210126 10:52;09:22;10/02/2021;20210210;06:54
010101;CM1026          ;002020;000000;HEC-EX;20210104;20210125;16:08;20210126;00:08;20210125;20210125 16:08;16:08;26/01/2021;20210126;00:10
010101;CM1026          ;001959;000000;PINT  ;20210104;20210121;13:22;20210121;21:00;20210121;20210121 13:22;13:22;21/01/2021;20210121;16:34
010101;CM1026          ;002541;000000;MEC-EX;20210115;20210126;11:33;20210126;19:33;20210126;20210126 11:33;11:33;26/01/2021;20210126;19:33
010101;CM1026          ;002655;000000;ELE   ;20210104;20210104;13:00;20210126;08:14;20210104;20210104 13:00;14:34;26/01/2021;20210126;08:16
010101;CM1026          ;002674;000000;MEC   ;20210104;20210122;09:45;20210128;14:05;20210122;20210122 09:45;09:45;28/01/2021;20210128;14:07
010102;CM1026          ;001141;000000;CORELE;20210201;20210202;11:04;20210202;11:04;20210131;20210202 11:04;08:00;02/02/2021;20210131;12:00
010101;CM1026          ;003212;000000;ARC-EX;20210127;20210127;15:10;20210127;15:10;20210127;20210127 15:10;08:00;27/01/2021;20210127;15:12
010101;CM1026          ;003312;000000;ELE-EX;20210129;20210213;10:31;20210213;18:31;20210213;20210213 10:31;10:31;13/02/2021;20210213;18:33
010102;CM1026          ;001379;000000;ELE   ;20210301;20210301;10:55;20210426;15:28;20210301;20210301 10:55;10:00;26/04/2021;20210301;20:00
010102;CM1026          ;001468;000000;CORELE;20210318;20210318;17:14;20210329;08:34;20210318;20210318 17:14;07:30;29/03/2021;20210318;20:00
010102;CM1026          ;001618;000006;PRE50 ;20210303;        ;     ;        ;     ;        ;              ;     ;01/01/1900;        ;     
010102;CM1026          ;001619;000006;PRE51 ;20210307;        ;     ;        ;     ;        ;              ;     ;01/01/1900;        ;     
010102;CM1026          ;001820;000007;PRE50 ;20210303;        ;     ;        ;     ;        ;              ;     ;01/01/1900;        ;     
010102;CM1026          ;001821;000007;PRE51 ;20210306;        ;     ;        ;     ;        ;              ;     ;01/01/1900;        ;     
010102;CM1026          ;001423;000000;CORMEC;20210305;20210305;11:40;20210316;17:09;20210305;20210305 11:40;11:00;16/03/2021;20210305;20:00
010101;CM1026          ;007941;000000;PNEMOV;20210507;20210507;13:06;20210507;13:07;        ;20210507 13:06;     ;07/05/2021;        ;     
010102;CM1026          ;002168;000008;PRE50 ;20210303;        ;     ;        ;     ;        ;              ;     ;01/01/1900;        ;     
010102;CM1026          ;002169;000008;PRE51 ;20210307;        ;     ;        ;     ;        ;              ;     ;01/01/1900;        ;     
010102;CM1026          ;002242;000000;CORELE;20210524;        ;     ;        ;     ;20210524;              ;16:26;01/01/1900;        ;     
010102;CM1026          ;002365;000009;PRE51 ;20210303;        ;     ;        ;     ;        ;              ;     ;01/01/1900;        ;     
010102;CM1026          ;001500;000000;CORHID;20210331;20210331;07:49;20210406;08:17;20210331;20210331 07:49;07:35;06/04/2021;20210331;20:00
010101;CM1026          ;006518;000000;ELE-EX;20210407;20210420;08:49;20210420;08:49;20210420;20210420 08:49;08:49;20/04/2021;20210420;08:51
010102;CM1026          ;002473;000010;PRE51 ;20210228;        ;     ;        ;     ;        ;              ;     ;01/01/1900;        ;     
010102;CM1026          ;002497;000000;CORMEC;20210603;        ;     ;        ;     ;20210603;              ;13:00;01/01/1900;        ;     
010102;CM1026          ;002508;000000;CORELE;20210605;        ;     ;        ;     ;20210605;              ;07:20;01/01/1900;        ;     
010102;CM1026          ;002843;000000;CORMEC;20210613;20210613;09:00;20210613;14:00;20210613;20210613 09:00;09:00;13/06/2021;20210613;14:00
010102;CM1026          ;002997;000000;CORMEC;20210618;        ;     ;        ;     ;20210618;              ;17:50;01/01/1900;        ;     
010102;CM1026          ;003016;000000;CORELE;20210628;20210628;15:24;20210628;16:24;20210628;20210628 15:24;17:18;28/06/2021;20210628;18:28
010102;CM1026          ;001684;000000;CORELE;20210415;20210415;08:59;20210415;08:59;20210415;20210415 08:59;08:29;15/04/2021;20210415;18:00
010101;CM1026          ;006907;000000;PNEMOV;20210415;20210415;08:01;20210415;08:02;        ;20210415 08:01;     ;15/04/2021;        ;     
010102;CM1026          ;003028;000000;CORMEC;20210630;20210630;14:20;20210630;16:20;20210630;20210630 14:20;12:40;30/06/2021;20210630;18:40
010102;CM1026          ;003029;000000;CORMEC;20210629;        ;     ;        ;     ;20210629;              ;17:15;01/01/1900;        ;     
010102;CM1026          ;003031;000000;CORMEC;20210629;        ;     ;        ;     ;20210629;              ;19:25;01/01/1900;        ;     
010102;CM1026          ;003035;000000;CORELE;20210630;20210630;08:11;20210630;09:11;20210630;20210630 08:11;07:15;30/06/2021;20210630;09:15
010102;CM1026          ;003495;000013;PRE51 ;20210204;        ;     ;        ;     ;        ;              ;     ;01/01/1900;        ;     
010102;CM1026          ;003596;000000;CORELE;20210714;20210714;09:32;20210714;11:32;20210714;20210714 09:32;13:00;14/07/2021;20210714;13:45
010102;CM1026          ;003621;000000;PNEMOV;20210710;20210710;16:00;20210710;16:01;20210710;20210710 16:00;16:00;10/07/2021;20210710;16:01
010101;CM1026          ;010050;000000;MEC   ;20210716;        ;     ;        ;     ;20210501;              ;10:00;01/01/1900;        ;     
010102;CM1026          ;001841;000000;CORELE;20210423;20210423;11:17;20210426;15:18;20210423;20210423 11:17;10:50;26/04/2021;20210423;18:00
010102;CM1026          ;003667;000000;PNEMOV;20210714;20210714;13:01;20210714;13:02;20210714;20210714 13:01;13:01;14/07/2021;20210714;13:02
010102;CM1026          ;003784;000000;CORELE;20210726;20210726;22:53;20210727;00:05;20210726;20210726 22:53;22:53;27/07/2021;20210727;00:05
010102;CM1026          ;003932;000000;CORMEC;20210805;20210805;07:27;20210805;11:30;20210805;20210805 07:27;07:27;05/08/2021;20210805;11:30
010102;CM1026          ;003938;000000;CORELE;20210804;20210804;09:40;20210804;10:40;20210804;20210804 09:40;09:40;04/08/2021;20210804;10:40
010101;CM1026          ;008105;000000;PNEMOV;20210511;20210511;11:00;20210511;11:02;        ;20210511 11:00;     ;11/05/2021;        ;     
010102;CM1026          ;002232;000000;CORMEC;20210521;        ;     ;        ;     ;20210521;              ;14:58;01/01/1900;        ;     
010101;CM1026          ;010479;000000;ELE   ;20210806;20210806;13:00;20210807;10:40;20210806;20210806 13:00;13:00;07/08/2021;20210807;10:42
010102;CM1026          ;003956;000000;CORELE;20210805;20210805;09:00;20210805;10:30;20210805;20210805 09:00;09:00;05/08/2021;20210805;10:30
010102;CM1026          ;004153;000014;PRE51 ;20210125;20210818;14:40;20210819;18:06;20210818;20210818 14:40;14:40;19/08/2021;20210819;13:00
010102;CM1026          ;004307;000000;CORELE;20210820;        ;     ;        ;     ;20210820;              ;13:30;01/01/1900;        ;     
010102;CM1026          ;004316;000000;CORMEC;20210820;20210820;10:20;20210820;14:50;20210820;20210820 10:20;10:20;20/08/2021;20210820;14:50
010102;CM1026          ;004324;000000;CORMEC;20210823;20210823;09:30;20210823;13:30;20210823;20210823 09:30;09:30;23/08/2021;20210823;13:30
010102;CM1026          ;004326;000000;CORELE;20210819;20210819;19:20;20210819;20:48;20210819;20210819 19:20;19:20;19/08/2021;20210819;20:48
010102;CM1026          ;004344;000000;CORMEC;20210822;20210822;08:40;20210822;10:35;20210822;20210822 08:40;08:40;22/08/2021;20210822;10:35
010102;CM1026          ;002667;000011;PRE50 ;20210303;20210610;18:33;20210610;18:33;20210610;20210610 18:33;10:00;10/06/2021;20210610;18:00
010102;CM1026          ;002668;000011;PRE51 ;20210303;        ;     ;        ;     ;        ;              ;     ;01/01/1900;        ;     
010102;CM1026          ;002742;000000;MEC   ;20210608;20210608;15:20;20210608;16:35;20210608;20210608 15:20;15:20;08/06/2021;20210608;16:35
010102;CM1026          ;004682;000000;PNEMOV;20210911;        ;     ;        ;     ;        ;              ;     ;01/01/1900;        ;     
010102;CM1026          ;004757;000000;PNEMOV;20210917;20210917;14:41;20210917;14:42;20210917;20210917 14:41;14:41;17/09/2021;20210917;14:42
010102;CM1026          ;004914;000000;CORMEC;20210927;20210927;09:00;20210927;16:00;20210927;20210927 09:00;09:47;27/09/2021;20210927;16:35
010101;CM1026          ;011850;000020;PRE50 ;20211002;        ;     ;        ;     ;        ;              ;     ;01/01/1900;        ;     
010102;CM1026          ;002816;000000;CORMEC;20210612;20210612;22:42;20210612;23:15;20210612;20210612 22:42;22:42;12/06/2021;20210612;23:15
010102;CM1026          ;002908;000000;CORMEC;20210622;20210622;08:06;20210622;09:06;20210622;20210622 08:06;07:00;22/06/2021;20210622;13:00
010102;CM1026          ;002915;000000;CORHID;20210622;        ;     ;        ;     ;20210623;              ;07:30;01/01/1900;        ;     
010102;CM1026          ;002918;000000;PNEMOV;20210613;20210613;09:01;20210613;09:02;20210613;20210613 09:01;09:01;13/06/2021;20210613;09:02
010102;CM1026          ;002924;000000;CORMEC;20210623;        ;     ;        ;     ;20210623;              ;13:26;01/01/1900;        ;     
010101;CM1026          ;011933;000000;PNEMOV;20210925;20210925;10:46;20210925;10:47;20210925;20210925 10:46;10:50;25/09/2021;20210925;10:51
010101;CM1026          ;011989;000000;MEC   ;20211011;20211011;09:24;20211013;14:11;20211011;20211011 09:24;09:24;13/10/2021;20211013;14:13
010101;CM1026          ;012010;000000;MEC-EX;20211011;20211023;08:55;20211023;09:55;20211023;20211023 08:55;08:55;23/10/2021;20211023;09:56
010102;CM1026          ;005187;000000;CORMEC;20211019;20211019;09:51;20211019;10:51;20211019;20211019 09:51;07:30;19/10/2021;20211019;10:00
